"Calendar_Year","Month","CD_Rate","VWI_Rate","VI_Rate","Unemp_Rate"
2018,10,15,28,31,4
2018,11,16,27,29,4
2018,12,14,19,24,4
2019,1,14,26,29,3
2019,2,19,31,38,3
2019,3,15,27,32,3
2019,4,16,26,30,3
2019,5,16,22,36,3
2019,6,14,20,27,3
2019,7,13,22,19,3
2019,8,14,18,24,2
2019,9,13,18,28,2
2019,10,16,27,34,2
2019,11,16,24,27,2
2019,12,16,24,26,2
